experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,LinearSVM,Kernel (linear),1,2,4459,1115,0.9862476895942319,0.9761092150170648,0.9871349786283593,0.9949351786235358,0.9726843064986999,0.9793481734683952,0.9937219730941704,0.959731543624161,965,1,6,143,2.4295131860000083,17.82474170403936,8
E1,word,full,kNN,Instance-based,1,2,4459,1115,0.9660085969288486,0.9407665505226481,0.9616377923023002,0.978302555337863,0.9329346111188676,0.951467339197132,0.9847533632286996,0.8993288590604027,963,3,14,135,3.5385646570000233,60.03707982064051,8
E1,word,full,RandomForest,Ensemble,1,2,4459,1115,0.9666015318717063,0.9419795221843004,0.9816233436384313,0.9949977072825046,0.933386137740826,0.9599816582600358,0.9847533632286996,0.9060402684563759,960,6,11,138,28.71887628600001,53.219105829597815,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,3,4459,1115,0.9763560795623224,0.958904109589041,0.9871555987241144,0.9959516407599309,0.9531911768466845,0.9656303972366149,0.989237668161435,0.9133333333333333,963,2,10,140,2.087667831999994,15.646930044831933,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,3,4459,1115,0.9764926631809748,0.9591836734693877,0.9829294057855724,0.9941347150259067,0.9532516838535127,0.9684455958549223,0.989237668161435,0.92,962,3,9,141,2.2121607969999957,15.339280717484298,8
E1,word,full,LinearSVM,Kernel (linear),1,3,4459,1115,0.9746069285683003,0.9559322033898305,0.9836272079687561,0.994873920552677,0.9493972007374426,0.9679274611398964,0.9883408071748879,0.92,961,4,9,141,2.330980079999989,16.712190134515698,8
E1,word,full,kNN,Instance-based,1,3,4459,1115,0.9700075855254545,0.9477351916376306,0.9507389175580059,0.9748186528497409,0.941305435055276,0.9528151986183073,0.9865470852017937,0.9066666666666666,964,1,14,136,3.26872114599999,61.875558744397516,8
E1,word,full,RandomForest,Ensemble,1,3,4459,1115,0.9645341193434835,0.9383561643835616,0.970352634001936,0.982272884283247,0.9295381762046062,0.9540759930915371,0.9838565022421525,0.9,960,5,13,137,25.661240094999982,36.19265112108566,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,4,4459,1115,0.9596499862484258,0.9295774647887324,0.9693758930602462,0.9862245250431778,0.9212574588260598,0.9389637305699482,0.9820627802690582,0.8666666666666667,963,2,18,132,2.0777822000000015,15.098347982056858,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,4,4459,1115,0.9671700420355094,0.9431438127090301,0.9745182266043749,0.9858376511226252,0.9343471669656276,0.9658549222797927,0.9847533632286996,0.9,957,8,9,141,2.235463648999996,15.185546188342308,8
E1,word,full,LinearSVM,Kernel (linear),1,4,4459,1115,0.9647389947714623,0.9387755102040817,0.9746492762603571,0.9857132987910191,0.9297393372658196,0.9568911917098446,0.9838565022421525,0.9,959,6,12,138,2.4566705189999993,14.611200896858092,8
E1,word,full,kNN,Instance-based,1,4,4459,1115,0.9390927293652722,0.8929889298892989,0.9257826406100201,0.9585284974093264,0.884947527308751,0.9033333333333333,0.9739910313901345,0.8133333333333334,965,0,29,121,3.3440632029999904,61.243263677132305,8
E1,word,full,RandomForest,Ensemble,1,4,4459,1115,0.9624545191927678,0.9347079037800687,0.972729464799232,0.9890086355785838,0.9255053000731613,0.9507426597582038,0.9829596412556054,0.76,960,5,14,136,28.487263267000003,34.732182062764515,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,5,4460,1114,0.9782602139206305,0.9621993127147767,0.9854491184678866,0.9936015578815592,0.9568904938862475,0.9687623882880689,0.9901256732495511,0.9194630872483222,963,2,9,140,2.087680050000017,15.080589766571059,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,5,4460,1114,0.9747483465764148,0.9562289562289562,0.9877675236818411,0.9957923288242863,0.949503946273129,0.9734012588239385,0.9883303411131059,0.9194630872483222,959,6,7,142,2.234618399999988,15.253258527832624,8
E1,word,full,LinearSVM,Kernel (linear),1,5,4460,1114,0.980294067700668,0.9657534246575342,0.9906540491112116,0.9962096185276628,0.9608592980405214,0.9721180929860556,0.9910233393177738,0.9463087248322147,963,2,8,141,2.45796997299999,14.97634111311589,8
E1,word,full,kNN,Instance-based,1,5,4460,1114,0.9591522440598417,0.9285714285714286,0.9703875396224932,0.9849775706784435,0.9208424663934451,0.9357234760232291,0.9820466786355476,0.9060402684563759,964,1,19,130,3.300872448000007,66.22279712746236,8
E1,word,full,RandomForest,Ensemble,1,5,4460,1114,0.9701804697245218,0.9480968858131488,0.9833723470931144,0.99590360607852,0.9409720134307481,0.9581771394790833,0.9865350089766607,0.912751677852349,962,3,12,137,28.154056422999986,58.301592459610475,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,1,4459,1115,0.971754990373898,0.9507042253521126,0.9615597590398732,0.9791640613058763,0.9450380077276553,0.9530201342281879,0.9874439461883409,0.9261744966442953,966,0,14,135,2.1355734179999786,16.631409865483942,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,1,4459,1115,0.9658052586479051,0.9403508771929825,0.963593966909695,0.9826100851779287,0.9329072366350681,0.9486292328428307,0.9847533632286996,0.8993288590604027,964,2,15,134,2.5153589949999855,15.37730044843646,8
E1,word,full,LinearSVM,Kernel (linear),2,1,4459,1115,0.9677199889987407,0.9436619718309859,0.9637837276405783,0.9829922047605153,0.9369579726182593,0.9491468311865161,0.9856502242152466,0.9060402684563759,965,1,15,134,2.4222617429999787,15.617982062792379,8
E1,word,full,kNN,Instance-based,2,1,4459,1115,0.9398558474773309,0.8945454545454545,0.9319704665053625,0.96130518154154,0.8838533264932198,0.9111988828212931,0.9739910313901345,0.8187919463087249,963,3,26,123,3.4983720760000097,67.93499999999734,8
E1,word,full,RandomForest,Ensemble,2,1,4459,1115,0.949410255153802,0.911660777385159,0.9553570338468943,0.9832562146539386,0.900521386286914,0.930297914321842,0.9775784753363229,0.8657718120805369,961,5,20,129,27.881288446000042,36.05726905831001,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,2,4459,1115,0.9634649831796933,0.9361702127659575,0.9728385603930468,0.9899398335348145,0.9289236466568711,0.9424354217905428,0.9838565022421525,0.8859060402684564,965,1,17,132,2.092086236,16.826246636792185,8
