experiment,algorithm,family,n_fold_scores,macro_f1_mean,macro_f1_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,recall_at_99_precision_mean,recall_at_99_precision_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,train_time_s_mean,train_time_s_sd,predict_ms_per_1000_mean,n_configs,rank
E1,LinearSVM,Kernel (linear),15,0.9745320569019561,0.007119333412919031,0.9820082170118418,0.0074467370099949,0.9494843639151284,0.014134291374976151,0.9237255779269202,0.025322563543080375,0.9663402594352578,0.011100691532317457,0.9928475519040066,0.004152294955853251,0.9883990414160849,0.0032048716646839105,2.4201001601333463,0.09302587566970902,15.859100718304791,8,1
E1,LogisticRegression,Linear / probabilistic,15,0.9718873420335411,0.007968153642834071,0.9815189708317261,0.007379967625501944,0.9442693539585394,0.0158843823553255,0.9183653989560029,0.026867008999746245,0.9648613471444994,0.011582195909630699,0.9926196401329883,0.004287247615294198,0.9871431676743606,0.0036913680722960567,2.2965442005333214,0.09720466488225497,15.580101302561896,8,2
E1,MultinomialNB,Linear / probabilistic,15,0.970923461084574,0.0072227718968334515,0.9780701273797798,0.008531256413115168,0.9427463668287673,0.014095266081016002,0.9058672632363909,0.02232186192417307,0.9575535909245295,0.01079444100032623,0.9907824533567522,0.004754891471218233,0.9869041120888381,0.0032103420532377624,2.122491648599988,0.048623118010255234,16.270086405278768,8,3
E1,RandomForest,Ensemble,15,0.9632483516426612,0.009027442478285696,0.9764321318407291,0.008784806343079377,0.9273061440083812,0.01759399092235701,0.856351976137211,0.050525916486345676,0.9510228858251645,0.013880362851216877,0.9912487034008798,0.004843547315789387,0.9834359275748524,0.0039045729426722855,27.831469945666658,0.9874518109934135,44.965297718785514,8,4
E1,kNN,Instance-based,15,0.9547810316878071,0.009081296104433832,0.9477725681934608,0.015359699959615027,0.9123198437907514,0.016879267039546307,0.862565249813572,0.04620361503761326,0.93158764654487,0.014436070213807632,0.9723625344882573,0.00934889523159023,0.9801462565043889,0.003724976632032579,3.305263469999999,0.14396198239289001,62.94619598935157,8,5
E1,MajorityBaseline(all-ham),Baseline,15,0.46408997746695974,0.00012548073643708595,0.13401502282406552,0.0004368741422195139,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.8659849771759345,0.0004368741422195595,0.0,0.0,0.0,0,6
E2,LogisticRegression,Linear / probabilistic,15,0.9840289693019472,0.005869018853181958,0.9897975172056518,0.0055551837620091355,0.9683250145090763,0.011619871912423998,0.9571752423564505,0.01919730412524518,0.9769300316185505,0.00858635593550969,0.9956562281796161,0.004063904239392866,0.9927047255610747,0.0026656343525809016,11.623688820133355,0.2504098166930491,84.32972256368248,8,1
E2,LinearSVM,Kernel (linear),15,0.9833287495386777,0.006968966580607094,0.9894436103442248,0.0053203654077129195,0.9669900573283724,0.013741905494563805,0.9580641312453394,0.016282933017233252,0.9754332279957617,0.010219273392862266,0.9955955370736632,0.0038633076144814907,0.992405825571004,0.003140482998750006,11.348829923266642,0.16982195529754013,82.41502434701927,8,2
E2,MultinomialNB,Linear / probabilistic,15,0.9753304893286922,0.008026720193310221,0.9841676706085992,0.007771589042301564,0.9510603586669537,0.015801703408698322,0.9183713646532439,0.037713923050182126,0.9678643627993667,0.012772027325089577,0.9928679424624983,0.004058958447666365,0.9887576784664804,0.003568272730598118,10.097168618133303,0.18716503808801419,81.80237739472005,8,3
E2,RandomForest,Ensemble,15,0.9734362823950904,0.009454487676410807,0.9877740353466729,0.006629816585298105,0.9482252990048047,0.01805914182517936,0.9330499627143921,0.03686656093534287,0.9567564457735894,0.01461713533307304,0.9960859665362362,0.002370006352251156,0.9881595564536688,0.004070085372913075,47.7789391718,0.9176697310112796,164.013667114355,8,4
E2,kNN,Instance-based,15,0.9623524930982045,0.010223337168547394,0.9568708864035866,0.03155628845340251,0.9261243613873839,0.019598426444596296,0.7555495898583149,0.31009323822173834,0.9463514538291192,0.016388725903590032,0.9774156264146494,0.015928709025022292,0.9831962815961012,0.004345602671226353,13.817013974600028,0.19796205489439833,228.47897424311523,8,5
E2,MajorityBaseline(all-ham),Baseline,15,0.46408997746695974,0.00012548073643708595,0.13401502282406552,0.0004368741422195139,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.8659849771759345,0.0004368741422195595,0.0,0.0,0.0,0,6
E3,LinearSVM,Kernel (linear),15,0.968868565732641,0.0065327155359763914,0.9771863794700144,0.009294807286987158,0.9384603349542232,0.01267652737227235,0.8961312169312171,0.027964812157867686,0.9581573125686333,0.012891869500491935,0.9919116804047498,0.0042345404701479615,0.9869395711500972,0.0026256417858698177,2.1672742712000237,0.10191317608825683,15.487683560741287,8,1
E3,LogisticRegression,Linear / probabilistic,15,0.9669280993033561,0.007500729979785635,0.975856821860855,0.009863708697424423,0.9343736865739517,0.014838093171470682,0.8892613756613759,0.029281180549006976,0.9589952844869604,0.012766360230404108,0.9912738526204797,0.005102517750031945,0.9860298895386613,0.003118618291531125,2.0966079433999742,0.04475041543872065,15.203129954503803,8,2
E3,MultinomialNB,Linear / probabilistic,15,0.9645984053962805,0.009802119347209698,0.971709863052696,0.011362522477545814,0.9306269772564261,0.018519482612983466,0.8887703703703705,0.03445979044472546,0.9476976011368909,0.01611879855339882,0.988733011527462,0.005721758217456453,0.9853801169590641,0.003828384039227916,1.9674487564666792,0.07845230542157935,16.102694671852657,8,3
E3,RandomForest,Ensemble,15,0.9559748329420578,0.009786691606873744,0.9703814146867752,0.011678058256493528,0.9130501349266461,0.019169180512400054,0.848998941798942,0.04275764020885986,0.9417127859110102,0.014065671934806184,0.9893107256226508,0.006406535214276112,0.9816764132553605,0.0039539380338176125,23.278371735533327,0.6810206383097297,51.3261281351474,8,4
E3,kNN,Instance-based,15,0.9447251969577849,0.013189711856634813,0.9329510791489269,0.02165903399967453,0.8935742332669007,0.024245680929066652,0.8024507936507937,0.07921651691767394,0.9165123337385269,0.02014994995242911,0.9650933248771206,0.012261989368191846,0.9778427550357374,0.004921326460367394,2.8257374183999966,0.1484755419140892,59.13399746588832,8,5
E3,MajorityBaseline(all-ham),Baseline,15,0.4673450087056051,0.00011445926858131577,0.12261208576998046,0.00040354711072652303,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.8773879142300195,0.00040354711072653436,0.0,0.0,0.0,0,6
