algorithm,full_macro_f1,full_sd,dedup_macro_f1,dedup_sd,optimism,full_pr_auc,dedup_pr_auc
MultinomialNB,0.970923461084574,0.0072227718968334515,0.9645984053962805,0.009802119347209698,0.006325055688293446,0.9780701273797798,0.971709863052696
LogisticRegression,0.9718873420335411,0.007968153642834071,0.9669280993033561,0.007500729979785635,0.004959242730184998,0.9815189708317261,0.975856821860855
LinearSVM,0.9745320569019561,0.007119333412919031,0.968868565732641,0.0065327155359763914,0.0056634911693150825,0.9820082170118418,0.9771863794700144
kNN,0.9547810316878071,0.009081296104433832,0.9447251969577849,0.013189711856634813,0.01005583473002225,0.9477725681934608,0.9329510791489269
RandomForest,0.9632483516426612,0.009027442478285696,0.9559748329420578,0.009786691606873744,0.007273518700603443,0.9764321318407291,0.9703814146867752
MajorityBaseline(all-ham),0.46408997746695974,0.00012548073643708595,0.4673450087056051,0.00011445926858131577,-0.003255031238645345,0.13401502282406552,0.12261208576998046
